강좌검색,,,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2025학년도,   학기 : 겨울학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,재학생장바구니신청,신입생장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,공과대학,협동과정 인공지능전공,석박사통합,0,M3309.006200,001,IoT·인공지능·빅데이터의 실무응용 연구 1,,2,1,2,월(13:00~15:50)/화(13:00~15:50)/수(13:00~15:50),이론/이론/이론,38-B105(무선랜제공)/38-B105(무선랜제공)/38-B105(무선랜제공),강현구,19,19,0,30 (30),20,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,E11.102,001,21세기 한국소설의 이해,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,1-101(무선랜제공)/1-101(무선랜제공)/1-101(무선랜제공),이경민,21,21,0,40 (40),40,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3502.004100,002,(공유)학부생 연구 인턴,,1,0,2,월(18:00~19:50)/화(18:00~19:50)/목(18:00~19:50),실습/실습/실습,/ /,응웬트렁,2,2,0,20 (20),11,ⓔ,영어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3502.004100,003,(공유)학부생 연구 인턴,,1,0,2,월(18:00~19:50)/화(18:00~19:50)/목(18:00~19:50),실습/실습/실습,/ /,이태호,4,4,0,20 (20),5,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3502.004100,001,(공유)학부생 연구 인턴,,1,0,2,월(18:00~19:50)/화(18:00~19:50)/목(18:00~19:50),실습/실습/실습,/ /,김남준,32,32,0,60 (60),57,,한국어,설강
전선,사회과학대학,사회학과,학사,3학년,205.336,001,경제사회학,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,101-230(무선랜제공)/101-230(무선랜제공)/101-230(무선랜제공),김승진,25,25,0,40 (40),40,,한국어,설강
전필,사회과학대학,경제학부,학사,2학년,212.214,001,경제수학,,3,3,0,월(15:00~17:50)/수(15:00~17:50)/금(15:00~17:50),이론/이론/이론,83-506/83-506/83-506,강창민,68,68,0,100 (100),100,"[경제학부홈페이지참조]  [수강신청 1~4일차에는 경제학 주전공, 복수전공, 부전공자만 수강신청이 가능]",한국어,설강
전선,사회과학대학,경제학부,학사,1학년,200.105,001,경제원론 1,,3,3,0,월(15:00~17:50)/수(15:00~17:50)/금(15:00~17:50),이론/이론/이론,83-305(무선랜제공)/83-305(무선랜제공)/83-305(무선랜제공),박이택,87,87,0,100 (100),100,,한국어,설강
전선,사회과학대학,경제학부,학사,3학년,212.301,001,계량경제학,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,83-506/83-506/83-506,정경채,46,46,0,100 (100),82,"[경제학부홈페이지참조] [수강신청 1~4일차에는 경제학 주전공, 복수전공, 부전공, 금융경제연계전공자만 수강신청가능이 가능]",한국어,설강
전필,경영대학,경영학과,학사,2학년,251.326,001,경영정보론,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,58-231(무선랜제공)/58-231(무선랜제공)/58-231(무선랜제공),엄다예,165,165,0,60 (60),60,,한국어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.302,001,고급영어: 문화와 사회,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,3-109(무선랜제공)/3-109(무선랜제공)/3-109(무선랜제공),Abigail Joo Young Shin,57,57,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.306,001,고급영어: 영화,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,3-116(무선랜제공)/3-116(무선랜제공)/3-116(무선랜제공),Nicholas William Shaw,27,27,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.306,002,고급영어: 영화,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,3-116(무선랜제공)/3-116(무선랜제공)/3-116(무선랜제공),Nicholas William Shaw,14,14,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
교양,학부대학,,학사,1학년,E11.104,001,고전에 길을 묻다,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,14-103(무선랜제공)/14-103(무선랜제공)/14-103(무선랜제공),손제연,32,32,0,25 (25),25,허버트 하트 『법의 개념』 -  법이란 무엇인가,한국어,설강
교양,학부대학,,학사,1학년,E11.104,002,고전에 길을 묻다,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,14-102(무선랜제공)/14-102(무선랜제공)/14-102(무선랜제공),김광식,30,30,0,25 (25),25,니체 『차라투스트라는 이렇게 말했다』 - 시기와 긍정,한국어,설강
교양,학부대학,,학사,1학년,E11.104,003,고전에 길을 묻다,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,14-104(무선랜제공)/14-104(무선랜제공)/14-104(무선랜제공),임부연,0,0,0,25 (25),6,『맹자(孟子)』-어진 정치[仁政]의 꿈과 인생의 즐거움,한국어,설강
교양,학부대학,,학사,1학년,E11.104,004,고전에 길을 묻다,,3,3,0,월(15:00~17:50)/수(15:00~17:50)/금(15:00~17:50),이론/이론/이론,14-103(무선랜제공)/14-103(무선랜제공)/14-103(무선랜제공),이유선,42,42,0,25 (25),25,프로이트『꿈의 해석』 - 나는 누구인가?,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.102,001,골프초급,,1,0,2,월(11:00~13:50)/수(11:00~13:50),실기/실기,/,채기재,48,48,0,20 (20),20,,한국어,설강
교양,인문대학,철학과,학사,1학년,C40.103,001,과학의 철학적 이해,,3,3,0,월(15:00~17:50)/수(15:00~17:50)/금(15:00~17:50),이론/이론/이론,8-B101(무선랜제공)/8-B101(무선랜제공)/8-B101(무선랜제공),김영,93,93,0,60 (60),60,,한국어,설강
전선,사범대학,과학교육과,석박사통합,0,M1868.000700,001,과학핵심역량교육을 위한 디지털기반 교육평가,,3,3,0,월(17:30~20:20)/화(17:30~20:20)/수(17:30~20:20)/목(17:30~20:20)/금(17:30~20:20),이론/이론/이론/이론/이론,13-119(무선랜제공)/13-119(무선랜제공)/13-119(무선랜제공)/13-119(무선랜제공)/13-119(무선랜제공),하민수,0,0,0,20 (20),0,,한국어,설강
전선,자연과학대학,생명과학부,학사,2학년,M2888.000700,001,과학기술학의 이해,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,28-303(무선랜제공)/28-303(무선랜제공)/28-303(무선랜제공),김명진,73,73,0,50 (50),50,,한국어,설강
교양,인문대학,미학과,학사,1학년,C10.102,001,공연예술의 이해,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,8-101(무선랜제공)/8-101(무선랜제공)/8-101(무선랜제공),전예완,98,98,0,60 (60),60,,한국어,설강
전선,미술대학,서양화과,학사,2학년,M1766.003100,001,공판화,,2,0,4,화(13:00~17:50)/금(13:00~17:50),실습/실습,74-311/74-311,민서정,1,1,0,20 (20),2,"1) 수강신청 1~4일 차는 서양화과 주전공생, 서양화과 제2 전공(복수전공, 부전공) 진입생, 자유전공학부 학생 중 서양화과 진입생만 신청 가능 / 2) 수강신청 5일 차부터는 수강반 제한 없음",한국어,설강
교직,사범대학,교육학과,학사,3학년,700.022,001,교육과정,,2,2,0,화(13:00~15:50)/목(13:00~15:50),이론/이론,10-1-103(무선랜제공)/10-1-103(무선랜제공),이수한,23,23,0,40 (40),40,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.102,004,골프초급,,1,0,2,화(12:00~14:50)/목(12:00~14:50),실기/실기,/,서혜진,69,69,0,20 (20),20,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.102,003,골프초급,,1,0,2,화(09:00~11:50)/목(09:00~11:50),실기/실기,/,서혜진,75,75,0,20 (20),20,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.102,002,골프초급,,1,0,2,월(14:00~16:50)/수(14:00~16:50),실기/실기,/,채기재,42,42,0,20 (20),20,,한국어,설강
교직,사범대학,교육학과,학사,2학년,700.002,001,교육심리,,2,2,0,화(13:00~15:50)/목(13:00~15:50),이론/이론,10-105(무선랜제공)/10-105(무선랜제공),류장한,60,60,0,40 (40),40,,한국어,설강
교직,사범대학,교육학과,학사,3학년,700.007,001,교육방법 및 교육공학,,2,2,0,화(13:00~15:50)/목(13:00~15:50),이론/이론,10-110(무선랜제공)/10-110(무선랜제공),신행수,31,31,0,40 (40),40,,한국어,설강
교직,사범대학,교육학과,학사,2학년,700.002,002,교육심리,,2,2,0,월(13:00~15:50)/수(13:00~15:50),이론/이론,10-110(무선랜제공)/10-110(무선랜제공),김윤경,35,35,0,40 (40),40,,한국어,설강
교직,사범대학,교육학과,학사,3학년,700.003,001,교육철학 및 교육사,,2,2,0,화(13:00~15:50)/목(13:00~15:50),이론/이론,9-113(무선랜제공)/9-113(무선랜제공),이연진,145,145,0,40 (40),40,,한국어,설강
교직,사범대학,,학사,4학년,T2184.001400,001,교육봉사활동2,,1,0,30,,,,은지용,0,0,0,150 (150),51,,한국어,설강
